,Dia,Hora, P(MW), Q(Mvar),Nome Elo
Elo_FOZ-IBIUNA,04,17-30,4476.0,2346.0299999999997,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,18-00,4578.0,2419.92,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,18-30,5109.0,2816.91,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,19-00,5109.0,2816.91,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,19-30,4593.0,2430.87,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,20-00,4494.0,2359.02,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,20-30,4404.0,2294.31,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,21-00,4401.0,2292.1499999999996,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,21-30,4401.0,2292.1499999999996,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,22-00,4401.0,2292.1499999999996,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,22-30,4401.0,2292.1499999999996,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,23-00,4398.0,2290.02,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,04,23-30,4398.0,2290.02,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,00-00,4746.0,2543.34,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,00-30,4326.0,2238.7200000000003,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,01-00,2868.0,1481.14,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,01-30,1908.0,855.54,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,02-00,2004.0,913.04,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,02-30,2004.0,913.04,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,03-00,2004.0,913.04,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,03-30,2006.0,914.26,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,04-00,2006.0,914.26,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,04-30,2030.0,928.82,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,05-00,2752.0,1399.78,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,05-30,3294.0,1547.28,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,06-00,3930.0,1963.59,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,06-30,2936.0,1529.54,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,07-00,3192.0,1483.56,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,07-30,3669.0,1788.87,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,08-00,3315.0,1560.5099999999998,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,08-30,3582.0,1731.81,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,09-00,4359.0,2262.18,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,09-30,4755.0,2550.0,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,10-00,4536.0,2389.41,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,10-30,4641.0,2465.9700000000003,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,11-00,4308.0,2225.9700000000003,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,11-30,3993.0,2006.58,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,12-00,3987.0,2002.47,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,12-30,4026.0,2029.1999999999998,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,13-00,4506.0,2367.69,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,13-30,4506.0,2367.69,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,14-00,4692.0,2503.44,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,14-30,4692.0,2503.44,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,15-00,5163.0,2858.3999999999996,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,15-30,5190.0,2879.25,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,16-00,5154.0,2851.4700000000003,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,16-30,5112.0,2819.2200000000003,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,17-00,5112.0,2819.2200000000003,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,17-30,5109.0,2816.91,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,18-00,5109.0,2816.91,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,18-30,5106.0,2814.6000000000004,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,19-00,5106.0,2814.6000000000004,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,19-30,5106.0,2814.6000000000004,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,20-00,5124.0,2828.43,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,20-30,5112.0,2819.2200000000003,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,21-00,5121.0,2826.12,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,21-30,4794.0,2578.98,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,22-00,4431.0,2313.66,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,22-30,4398.0,2290.02,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,23-00,4431.0,2313.66,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,05,23-30,4398.0,2290.02,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,00-00,5481.0,3106.9500000000003,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,00-30,5481.0,3106.9500000000003,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,01-00,5271.0,2942.04,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,01-30,5325.0,2984.13,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,02-00,4974.0,2714.07,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,02-30,5142.0,2842.2599999999998,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,03-00,4947.0,2693.67,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,03-30,4857.0,2625.9900000000002,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,04-00,4962.0,2704.98,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,04-30,5127.0,2830.71,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,05-00,1090.0,510.74,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,05-30,1090.0,510.74,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,06-00,1090.0,510.74,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,06-30,1090.0,510.74,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,07-00,1090.0,510.74,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,07-30,1090.0,510.74,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,08-00,742.0,308.06,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,08-30,742.0,308.06,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,09-00,742.0,308.06,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,09-30,742.0,308.06,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,10-00,3315.0,1560.5099999999998,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,10-30,3258.0,1524.69,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,11-00,3003.0,1367.76,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,11-30,3663.0,1784.91,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,12-00,3813.0,1884.63,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,12-30,4032.0,2033.31,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,13-00,4035.0,2035.38,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,13-30,4392.0,2285.73,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,14-00,5124.0,2828.43,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,14-30,5148.0,2846.8500000000004,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,15-00,5151.0,2849.16,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,15-30,5151.0,2849.16,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,16-00,5148.0,2846.8500000000004,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,16-30,5148.0,2846.8500000000004,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,17-00,5148.0,2846.8500000000004,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,17-30,5148.0,2846.8500000000004,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,18-00,5121.0,2826.12,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,18-30,5112.0,2819.2200000000003,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,19-00,5112.0,2819.2200000000003,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,19-30,5112.0,2819.2200000000003,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,20-00,5154.0,2851.4700000000003,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,20-30,5154.0,2851.4700000000003,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,21-00,5154.0,2851.4700000000003,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,21-30,5154.0,2851.4700000000003,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,22-00,5154.0,2851.4700000000003,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,22-30,5154.0,2851.4700000000003,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,23-00,5154.0,2851.4700000000003,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,06,23-30,5154.0,2851.4700000000003,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,00-00,5481.0,3106.9500000000003,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,00-30,5481.0,3106.9500000000003,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,01-00,5481.0,3106.9500000000003,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,01-30,5481.0,3106.9500000000003,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,02-00,5481.0,3106.9500000000003,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,02-30,5481.0,3106.9500000000003,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,03-00,5481.0,3106.9500000000003,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,03-30,5481.0,3106.9500000000003,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,04-00,5481.0,3106.9500000000003,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,04-30,5481.0,3106.9500000000003,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,05-00,5481.0,3106.9500000000003,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,05-30,5481.0,3106.9500000000003,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,06-00,5481.0,3106.9500000000003,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,06-30,5058.0,2777.91,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,07-00,4863.0,2630.4900000000002,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,07-30,4785.0,2572.2599999999998,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,08-00,5241.0,2918.73,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,08-30,5241.0,2918.73,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,09-00,5241.0,2918.73,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,09-30,5241.0,2918.73,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,10-00,5199.0,2886.18,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,10-30,5199.0,2886.18,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,11-00,5199.0,2886.18,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,11-30,5199.0,2886.18,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,12-00,5199.0,2886.18,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,12-30,5199.0,2886.18,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,13-00,5199.0,2886.18,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,13-30,5199.0,2886.18,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,14-00,5199.0,2886.18,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,14-30,5199.0,2886.18,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,15-00,5199.0,2886.18,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,15-30,5199.0,2886.18,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,16-00,5199.0,2886.18,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,16-30,5199.0,2886.18,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,17-00,5199.0,2886.18,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,17-30,5199.0,2886.18,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,18-00,5199.0,2886.18,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,18-30,5199.0,2886.18,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,19-00,5199.0,2886.18,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,19-30,5199.0,2886.18,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,20-00,5241.0,2918.73,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,20-30,5241.0,2918.73,Elo_FOZ-IBIUNA
Elo_FOZ-IBIUNA,07,21-00,5241.0,2918.73,Elo_FOZ-IBIUNA
