,Dia,Hora,MW:From-To,Mvar:From-To
EXP_NE,07,03-00,2576.1,-1462.4
EXP_NE,07,03-30,2442.8,-1518.2
EXP_NE,07,04-00,2222.1,-1443.6000000000001
EXP_NE,07,04-30,2018.1,-1529.1999999999998
EXP_NE,07,05-00,2097.6,-1412.5
EXP_NE,07,05-30,2286.8,-1325.5
EXP_NE,07,06-00,2627.9,-1180.2
EXP_NE,07,06-30,3260.6,-1127.3
EXP_NE,07,07-00,3845.9,-1074.7
EXP_NE,07,07-30,4237.7,-1088.3999999999999
EXP_NE,07,08-00,4118.1,-1304.1
EXP_NE,07,08-30,3825.6000000000004,-1311.1
EXP_NE,07,09-00,3317.4,-1372.3
EXP_NE,07,09-30,2704.8,-1504.3
EXP_NE,07,10-00,2935.7,-1501.0
EXP_NE,07,10-30,2742.6,-1353.3
EXP_NE,07,11-00,2674.6,-1355.0
EXP_NE,07,11-30,2747.7,-1359.7
EXP_NE,07,12-00,2980.0,-1313.3
EXP_NE,07,12-30,3046.8,-1347.2
EXP_NE,07,13-00,3204.5,-1349.7
EXP_NE,07,13-30,3038.2999999999997,-1376.1
EXP_NE,07,14-00,3154.8,-1365.8
EXP_NE,07,14-30,3162.5,-1417.7
EXP_NE,07,15-00,3397.2,-1415.0
EXP_NE,07,15-30,3293.0,-1389.7
EXP_NE,07,16-00,3079.0,-1445.5
EXP_NE,07,16-30,2806.9,-1464.8
EXP_NE,07,17-00,2669.7000000000003,-1495.0
EXP_NE,07,17-30,2152.1,-1510.4
EXP_NE,07,18-00,3257.5,-1414.3999999999999
EXP_NE,07,18-30,3349.0,-1636.9
EXP_NE,07,19-00,3356.6,-1667.7
EXP_NE,07,19-30,3398.0,-1612.4
EXP_NE,07,20-00,2342.2,-1695.8999999999999
EXP_NE,07,20-30,2023.2,-1673.4
EXP_NE,07,21-00,3260.9,-1593.0
EXP_NE,07,21-30,2786.8,-1612.3
EXP_NE,07,22-00,2186.1,-1656.8
